id;tag_slot_id;image_completion_solution_id;tag_id
1194;0;1193;1000
1195;1;1193;1019
1196;2;1193;1025
1197;3;1193;1018
1198;4;1193;1029
1199;5;1193;1012
1200;6;1193;1022
1201;7;1193;1012
1202;8;1193;1029
1209;0;1208;1012
1210;1;1208;1034
1211;2;1208;1021
1212;3;1208;1022
1213;4;1208;1000
1214;5;1208;1012
1215;6;1208;1025
1216;7;1208;1026
1256;0;1255;1000
1257;1;1255;1017
1258;2;1255;1015
1259;3;1255;1004
1260;4;1255;1012
1261;5;1255;1020
1262;6;1255;1015
1283;0;1282;1025
1284;1;1282;1012
1285;2;1282;1021
1286;3;1282;1012
1287;4;1282;1020
1288;5;1282;1026
1289;6;1282;1012
1290;7;1282;1032
1321;0;1320;1000
1322;1;1320;1022
1323;2;1320;1012
1324;3;1320;1017
1325;4;1320;1032
1326;5;1320;1025
1327;6;1320;1012
